  0    1163.2        3.5674
  0.1  1036          2.2899
  0.2   751.86        .80691
  0.3   472.75        .44281
  0.4   275.3         .22844
  0.5   154.17        .13692
  0.6    84.263       .086077
  0.7    45.646       .054807
  0.8    24.798       .03617
  0.9    13.503       .023569
  1       7.3598      .015933
  1.1     4.0459      .010526
  1.2     2.2326      .0070088
  1.3     1.2214      .0048395
  1.4      .66697     .003009
  1.5      .37119     .0020934
  1.6      .20986     .0013138
  1.7      .11996    7.9404E-4
  1.8      .071679   4.8951E-4
  1.9      .04635    2.5121E-4
  2        .032266   1.3972E-4
  2.1      .023963   9.6567E-5
  2.2      .018944   1.1388E-4
  2.3      .015576   1.3893E-4
  2.4      .012891   1.4366E-4
  2.5      .010701   1.4647E-4
  2.6      .0090738  1.4374E-4
  2.7      .0075643  1.3753E-4
  2.8      .0060076  1.207E-4
  2.9      .0048714  1.1269E-4
  3        .0040981  1.0225E-4
  3.1      .0032203  9.1317E-5
  3.2      .0024254  7.8257E-5
  3.3      .0019725  6.9529E-5
  3.4      .0015717  6.1176E-5
  3.5      .0011467  5.3199E-5
  3.6     9.099E-4   4.3586E-5
  3.7     7.5121E-4  4.2947E-5
  3.8     5.1425E-4  3.2739E-5
  3.9     3.4655E-4  2.6912E-5
  4       2.8827E-4  2.4586E-5
  4.1     2.2081E-4  2.0484E-5
  4.2     1.4127E-4  1.6727E-5
  4.3     1.0289E-4  1.3808E-5
  4.4     8.0118E-5  1.1854E-5
  4.5     5.4043E-5  9.7468E-6
  4.6     3.7006E-5  7.7614E-6
  4.7     2.3515E-5  5.9831E-6
  4.8     1.2079E-5  4.0637E-6
  4.9     9.3776E-6  3.3693E-6
  5       1.1609E-5  3.6726E-6
