 11.5     1.6341e-8   2.4539e-9      1.8795e-8
 11.6     1.3552e-8   1.8887e-9      1.544e-8
 11.7     1.1183e-8   1.4324e-9      1.2615e-8
 11.8     9.1815e-9   1.0676e-9      1.0249e-8
 11.9     7.4985e-9   7.7957e-10     8.2781e-9
 12       6.0906e-9   5.5518e-10     6.6457e-9
 12.1     4.9187e-9   3.8325e-10     5.3019e-9
 12.2     3.9485e-9   2.5416e-10     4.2026e-9
 12.3     3.1495e-9   1.597e-10      3.3092e-9
 12.4     2.4953e-9   9.2943e-11     2.5882e-9
 12.5     1.9627e-9   4.8055e-11     2.0108e-9
 12.6     1.5318e-9   2.0181e-11     1.552e-9
 12.7     1.1854e-9   5.3007e-12     1.1908e-9
 12.8     9.0895e-10  1.1848e-13     9.0907e-10
 12.9     6.8985e-10  1.9577e-12     6.9181e-10
 13       5.1763e-10  8.6678e-12     5.263e-10
 13.1     3.8344e-10  1.8542e-11     4.0198e-10
 13.2     2.799e-10   3.0247e-11     3.1014e-10
 13.3     2.0086e-10  4.2758e-11     2.4362e-10
 13.4     1.4128e-10  5.5304e-11     1.9658e-10
 13.5     9.7e-11     6.7324e-11     1.6432e-10
 13.6     6.4645e-11  7.8424e-11     1.4307e-10
 13.7     4.1483e-11  8.8347e-11     1.2983e-10
 13.8     2.5323e-11  9.694e-11      1.2226e-10
 13.9     1.4421e-11  1.0413e-10     1.1855e-10
 14       7.4023e-12  1.0992e-10     1.1732e-10
 14.1     3.193e-12   1.1433e-10     1.1753e-10
 14.2     9.6472e-13  1.1745e-10     1.1842e-10
 14.3     8.6342e-14  1.1937e-10     1.1946e-10
 14.4     8.4154e-14  1.2019e-10     1.2028e-10
 14.5     6.0927e-13  1.2004e-10     1.2065e-10
 14.6     1.4105e-12  1.1903e-10     1.2044e-10
 14.7     2.3122e-12  1.1727e-10     1.1958e-10
 14.8     3.1967e-12  1.1489e-10     1.1808e-10
 14.9     3.9897e-12  1.1198e-10     1.1597e-10
 15       4.6489e-12  1.0864e-10     1.1329e-10
 15.1     5.155e-12   1.0497e-10     1.1013e-10
 15.2     5.5051e-12  1.0105e-10     1.0656e-10
 15.3     5.7068e-12  9.6946e-11     1.0265e-10
 15.4     5.7744e-12  9.2724e-11     9.8499e-11
 15.5     5.7259e-12  8.8439e-11     9.4165e-11
 15.6     5.5809e-12  8.414e-11      8.9721e-11
 15.7     5.359e-12   7.9866e-11     8.5226e-11
 15.8     5.0787e-12  7.5653e-11     8.0732e-11
 15.9     4.757e-12   7.1526e-11     7.6283e-11
 16       4.4085e-12  6.7509e-11     7.1918e-11
 16.1     4.0463e-12  6.362e-11      6.7666e-11
 16.2     3.6807e-12  5.9872e-11     6.3552e-11
 16.3     3.3204e-12  5.6274e-11     5.9594e-11
 16.4     2.972e-12   5.2833e-11     5.5805e-11
 16.5     2.6405e-12  4.9554e-11     5.2194e-11
 16.6     2.3295e-12  4.6437e-11     4.8767e-11
 16.7     2.0411e-12  4.3483e-11     4.5524e-11
 16.8     1.7766e-12  4.0689e-11     4.2466e-11
 16.9     1.5364e-12  3.8053e-11     3.959e-11
 17       1.3203e-12  3.5571e-11     3.6891e-11
 17.1     1.1275e-12  3.3237e-11     3.4365e-11
 17.2     9.5683e-13  3.1046e-11     3.2003e-11
 17.3     8.0688e-13  2.8992e-11     2.9799e-11
 17.4     6.7612e-13  2.7069e-11     2.7745e-11
 17.5     5.6288e-13  2.527e-11      2.5833e-11
 17.6     4.6549e-13  2.359e-11      2.4056e-11
 17.7     3.8231e-13  2.2021e-11     2.2403e-11
 17.8     3.1175e-13  2.0558e-11     2.0869e-11
 17.9     2.5231e-13  1.9193e-11     1.9445e-11
 18       2.0258e-13  1.7922e-11     1.8124e-11
 18.1     1.6127e-13  1.6738e-11     1.6899e-11
 18.2     1.2721e-13  1.5635e-11     1.5762e-11
 18.3     9.9341e-14  1.4609e-11     1.4708e-11
 18.4     7.6727e-14  1.3654e-11     1.3731e-11
 18.5     5.8534e-14  1.2766e-11     1.2824e-11
 18.6     4.404e-14   1.1939e-11     1.1983e-11
 18.7     3.2611e-14  1.1171e-11     1.1203e-11
 18.8     2.3703e-14  1.0455e-11     1.0479e-11
 18.9     1.685e-14   9.7899e-12     9.8067e-12
 19       1.166e-14   9.1706e-12     9.1823e-12
 19.1     7.802e-15   8.5943e-12     8.6021e-12
 19.2     4.9964e-15  8.0578e-12     8.0628e-12
 19.3     3.015e-15   7.5584e-12     7.5614e-12
 19.4     1.6694e-15  7.0932e-12     7.0948e-12
 19.5     8.0661e-16  6.6598e-12     6.6606e-12
 19.6     3.0303e-16  6.2558e-12     6.2561e-12
 19.7     6.0065e-17  5.8792e-12     5.8793e-12
 19.8     4.6359e-19  5.528e-12      5.528e-12
 19.9     6.3939e-17  5.2003e-12     5.2003e-12
 20       2.0441e-16  4.8943e-12     4.8945e-12
